iteration,start,actor,exectime
247,17719812,D2,120174
247,17719060,D3,120112
248,17842736,D1,120199
248,17842736,D2,120199
248,17841647,D3,120102
249,17973707,D1,120176
249,17973707,D2,120176
249,17972759,D3,120084
250,18093900,D1,120117
250,18093900,D2,120309
250,18092873,D3,120177
251,18222130,D1,120167
251,18220782,D2,120167
251,18218854,D3,120168
252,18353478,D1,120175
252,18353478,D2,120175
252,18352508,D3,120163
253,18480341,D1,120271
253,18480341,D2,120271
253,18479613,D3,120216
254,18611803,D1,120155
254,18611803,D2,120175
254,18611131,D3,120175
255,18741145,D1,120282
255,18737344,D2,120282
255,18732903,D3,120213
256,18866772,D1,120251
256,18866772,D2,120251
256,18862014,D3,120209
257,18993563,D1,120325
257,18993563,D2,120324
257,18989642,D3,120221
258,19120958,D1,120097
258,19120958,D2,120102
258,19119436,D3,120159
259,19243404,D1,120290
259,19242552,D2,120290
259,19241628,D3,120214
260,19375220,D1,120292
260,19375220,D2,120292
260,19369963,D3,120219
261,19503244,D1,120251
261,19503244,D2,120251
261,19498762,D3,120233
262,19630913,D1,120110
262,19630913,D2,120119
262,19629576,D3,120163
263,19752995,D1,120277
263,19752027,D2,120277
263,19751059,D3,120214
264,19882812,D1,120127
264,19882812,D2,120127
264,19878221,D3,120107
265,20005428,D1,120181
265,20005428,D2,120181
265,20004610,D3,120111
266,20126754,D1,120096
266,20126754,D2,120103
266,20126341,D3,120148
267,20257159,D1,120183
267,20256400,D2,120183
267,20255474,D3,120099
268,20379390,D1,120171
268,20379390,D2,120171
268,20378275,D3,120164
269,20510499,D1,120442
269,20510499,D2,120442
269,20509613,D3,120187
270,20640365,D1,120177
270,20640365,D2,120177
270,20637638,D3,120109
271,20760611,D1,120140
271,20760712,D2,120116
271,20757777,D3,120099
272,20885306,D1,120145
272,20885306,D2,120145
272,20884223,D3,120102
273,21011464,D1,120145
273,21011464,D2,120140
273,21010756,D3,120308
274,21135309,D1,120377
274,21135309,D2,120172
274,21135039,D3,120207
275,21274781,D1,120149
275,21270742,D2,120146
275,21266781,D3,120098
276,21394980,D1,120166
276,21391616,D2,120166
276,21390624,D3,120113
277,21517277,D1,120157
277,21517277,D2,120156
277,21516618,D3,120147
278,21647236,D1,120254
278,21647236,D2,120258
278,21646230,D3,120214
279,21776700,D1,120279
279,21776700,D2,120279
279,21772297,D3,120209
280,21904220,D1,120158
280,21904220,D2,120158
280,21899580,D3,120146
281,22026679,D1,120156
281,22026679,D2,120354
281,22025656,D3,120353
