iteration,start,actor,exectime
373,30745946,D1,120485
374,30866491,D1,120457
375,30987026,D1,120472
376,31107579,D1,120494
377,31228152,D1,120485
378,31348716,D1,120479
379,31469276,D1,120511
380,31589868,D1,120403
381,31710351,D1,120420
382,31830852,D1,120443
383,31951375,D1,120469
384,32071923,D1,120471
385,32192475,D1,120502
386,32313052,D1,120397
387,32433529,D1,120479
388,32554087,D1,120468
389,32674636,D1,120429
390,32795145,D1,120471
391,32915697,D1,120477
392,33036254,D1,120484
393,33156818,D1,120508
394,33277409,D1,120484
395,33397972,D1,120400
396,33518453,D1,120351
397,33638884,D1,120443
398,33759407,D1,120475
399,33879962,D1,120463
400,34000506,D1,120465
401,34121053,D1,120232
402,34241379,D1,120494
403,34361978,D1,120477
404,34482530,D1,120481
405,34603090,D1,120454
406,34723625,D1,120486
407,34844191,D1,120482
408,34964753,D1,120487
409,35085351,D1,120480
410,35205909,D1,120397
411,35326386,D1,120476
412,35446942,D1,120454
413,35567477,D1,120465
414,35688002,D1,120465
415,35808546,D1,120384
416,35929010,D1,120484
417,36049567,D1,120484
418,36170130,D1,120462
419,36290653,D1,120485
420,36411240,D1,120476
421,36531796,D1,120485
422,36652445,D1,120460
423,36772980,D1,120473
424,36893533,D1,120474
425,37014087,D1,120412
426,37134578,D1,120474
427,37255125,D1,120468
428,37375670,D1,120461
429,37496192,D1,120412
430,37616679,D1,120463
431,37737218,D1,120388
432,37857683,D1,120479
433,37978238,D1,120464
434,38098780,D1,120480
435,38219334,D1,120464
436,38339878,D1,120477
437,38460438,D1,120474
438,38580990,D1,120492
439,38701563,D1,120473
440,38822116,D1,120414
441,38942609,D1,120478
442,39063161,D1,120463
443,39183703,D1,120453
444,39304237,D1,120236
445,39424545,D1,120474
446,39545094,D1,120470
447,39665656,D1,120486
448,39786222,D1,120471
449,39906769,D1,120510
450,40027358,D1,120482
451,40147921,D1,120487
452,40268489,D1,120495
453,40389063,D1,120481
454,40509624,D1,120475
455,40630179,D1,120416
456,40750677,D1,120443
457,40871200,D1,120486
458,40991765,D1,120437
459,41112282,D1,120315
460,41232673,D1,120465
461,41353217,D1,120395
462,41473692,D1,120471
463,41594242,D1,120416
464,41714738,D1,120477
465,41835296,D1,120479
466,41955855,D1,120487
467,42076422,D1,120464
468,42196965,D1,120485
469,42317529,D1,120467
470,42438080,D1,120473
471,42558634,D1,120478
472,42679191,D1,120436
473,42799705,D1,120484
474,42920270,D1,120491
475,43040841,D1,120480
476,43161401,D1,120213
477,43281696,D1,120481
478,43402256,D1,120426
479,43522756,D1,120433
480,43643269,D1,120469
481,43763817,D1,120489
482,43884386,D1,120480
483,44004946,D1,120426
484,44125451,D1,120473
485,44246004,D1,120224
486,44366306,D1,120478
487,44486856,D1,120505
488,44607439,D1,120481
489,44728000,D1,120487
490,44848567,D1,120370
491,44969018,D1,120474
492,45089575,D1,120483
493,45210140,D1,120411
494,45330623,D1,120475
495,45451173,D1,120460
496,45571707,D1,120475
497,45692255,D1,120464
498,45812794,D1,120481
499,45933478,D1,120470
500,46054023,D1,120474
