it,start,end,latency,execution,sol
464,21108616,22103304,994688,81847,1
465,21149864,22144044,994180,81094,1
466,21190222,22184537,994315,80958,1
467,21230691,22225117,994426,81130,1
468,21271245,22265563,994318,81003,1
469,21311806,22306028,994222,80946,1
470,21352291,22347138,994847,81541,1
471,21392726,22387550,994824,80974,1
472,21433292,22428208,994916,81119,1
473,21473756,22468749,994993,80908,1
474,21514126,22509316,995190,80960,1
475,21554524,22549761,995237,81035,1
476,21595119,22590188,995069,81020,1
477,21635716,22630775,995059,81033,1
478,21676165,22671310,995145,81046,1
479,21716679,22711757,995078,81702,1
480,21757938,22752287,994349,80794,1
481,21798205,22792721,994516,80961,1
482,21838735,22833064,994329,80823,1
483,21879218,22869091,989873,76702,1
484,21919898,22895224,975326,66534,1
485,21960304,22936852,976548,81886,1
486,22000566,23005149,1004583,109015,1
487,22041288,23024724,983436,60125,1
488,22081845,23070343,988498,86252,1
489,22122484,23110663,988179,80925,1
490,22163094,23155481,992387,85289,1
491,22203569,23180806,977237,66011,1
492,22244260,23209809,965549,69394,1
493,22284655,23241234,956579,72359,1
494,22325593,23269769,944176,69191,1
495,22366254,23300941,934687,71530,1
496,22406616,23331761,925145,71533,1
497,22447333,23362879,915546,71597,1
498,22487816,23393859,906043,71610,1
499,22528451,23426306,897855,72814,1
500,22568821,23466577,897756,80687,1
501,22609240,23503381,894141,77367,1
502,22649807,23579758,929951,116941,1
503,22690374,23618441,928067,79133,1
504,22730829,23658966,928137,80978,1
505,22771285,23699465,928180,80967,1
506,22811758,23739908,928150,100189,1
507,22871509,23780442,908933,80845,1
508,22911824,23820688,908864,74763,1
509,22946344,23861129,914785,58871,1
510,22964777,23901628,936851,106120,1
511,23030403,23942108,911705,65245,1
512,23055171,23982629,927458,84397,1
513,23099050,24023119,924069,81389,1
514,23139954,24064022,924068,94955,1
515,23194010,24104795,910785,92640,1
516,23245880,24145183,899303,80646,1
517,23286142,24185687,899545,90433,1
518,23336075,24226334,890259,80932,1
519,23376362,24266826,890464,88839,1
520,23424713,24307288,882575,78594,1
521,23462848,24347649,884801,67516,1
522,23490005,24388017,898012,73452,1
523,23523093,24428625,905532,51703,1
524,23534191,24469068,934877,61555,1
525,23555325,24509522,954197,75743,1
526,23590617,24549954,959337,49940,1
527,23600129,24590471,990342,77930,1
528,23637546,24630922,993376,80921,1
529,23678020,24671381,993361,80925,1
530,23718490,24712006,993516,81140,1
531,23759009,24752584,993575,81038,1
532,23799473,24793124,993651,80832,1
533,23839768,24833507,993739,80836,1
534,23880225,24874097,993872,81052,1
535,23920690,24914569,993879,81065,1
536,23961286,24955046,993760,80847,1
537,24001660,24995619,993959,81240,1
538,24042331,25036097,993766,81301,1
539,24083158,25076610,993452,81211,1
540,24123859,25117079,993220,80874,1
541,24164267,25157530,993263,80953,1
542,24204772,25198289,993517,81374,1
543,24245391,25238887,993496,81113,1
544,24285910,25279511,993601,81116,1
545,24326406,25319895,993489,80743,1
546,24366769,25360379,993610,80856,1
547,24407146,25400753,993607,80930,1
548,24447705,25441274,993569,80958,1
549,24488146,25481885,993739,81045,1
550,24528584,25522436,993852,80980,1
551,24569017,25562891,993874,80997,1
552,24609563,25603376,993813,80915,1
553,24649996,25643824,993828,80924,1
554,24690477,25684325,993848,81080,1
555,24731059,25724764,993705,80978,1
556,24771602,25765341,993739,81136,1
557,24812165,25805789,993624,80967,1
558,24852687,25846141,993454,80837,1
559,24893175,25886231,993056,80521,1
560,24933609,25926784,993175,81088,1
561,24974149,25967281,993132,80976,1
562,25014632,26007840,993208,81078,1
563,25055156,26048349,993193,81049,1
564,25095700,26088606,992906,80671,1
565,25136119,26128887,992768,80733,1
566,25176574,26169347,992773,81339,1
567,25217457,26209800,992343,80955,1
568,25257963,26250614,992651,81361,1
569,25298514,26291039,992525,80806,1
570,25338899,26331313,992414,80866,1
571,25379494,26371775,992281,80813,1
572,25419849,26412169,992320,80952,1
573,25460410,26452783,992373,81165,1
574,25500966,26493317,992351,81067,1
575,25541502,26533848,992346,80983,1
576,25581957,26574338,992381,81007,1
577,25622478,26614798,992320,80836,1
578,25662859,26655088,992229,80807,1
579,25703380,26695476,992096,80843,1
580,25743839,26735965,992126,81033,1
581,25784387,26776470,992083,80940,1
582,25824825,26816850,992025,80772,1
583,25865221,26857450,992229,80741,1
584,25905365,26897885,992520,80888,1
585,25945822,26938457,992635,81097,1
586,25986351,26978976,992625,81008,1
587,26026844,27019389,992545,80988,1
588,26067436,27059834,992398,80658,1
589,26107653,27100253,992600,80682,1
590,26147920,27140673,992753,80929,1
591,26188433,27181124,992691,80996,1
592,26228983,27221521,992538,81043,1
593,26269634,27261929,992295,80870,1
594,26310101,27302448,992347,80859,1
595,26350445,27342957,992512,80851,1
596,26390792,27383455,992663,80992,1
597,26431290,27424033,992743,81125,1
598,26471842,27464418,992576,80887,1
599,26512348,27504966,992618,81098,1
600,26552901,27545354,992453,80914,1
601,26593431,27585906,992475,81014,1
602,26633897,27626272,992375,80676,1
603,26674211,27666770,992559,80851,1
604,26714569,27707231,992662,80909,1
605,26755022,27747862,992840,81160,1
606,26795555,27788361,992806,80834,1
607,26835895,27828911,993016,81127,1
608,26876477,27869425,992948,80987,1
609,26916954,27909953,992999,81076,1
610,26957505,27950343,992838,80870,1
611,26997989,27990848,992859,80978,1
612,27038466,28031358,992892,80941,1
613,27078900,28071770,992870,80887,1
614,27119378,28112270,992892,80819,1
615,27159701,28152698,992997,80910,1
616,27200186,28193130,992944,80911,1
617,27240669,28233664,992995,80929,1
618,27281068,28274111,993043,80919,1
619,27321544,28314681,993137,81057,1
620,27362035,28355066,993031,80905,1
621,27402558,28395540,992982,80957,1
622,27443044,28435976,992932,80932,1
623,27483544,28476340,992796,80811,1
624,27523996,28516803,992807,80918,1
625,27564454,28557105,992651,80838,1
626,27604993,28597553,992560,80783,1
627,27645332,28637789,992457,80760,1
628,27685859,28678167,992308,80828,1
629,27726312,28718512,992200,80954,1
630,27766925,28759045,992120,80979,1
631,27807375,28799671,992296,81210,1
632,27847963,28840207,992244,81065,1
633,27888496,28880620,992124,80932,1
634,27929020,28921151,992131,80953,1
635,27969446,28961526,992080,80807,1
636,28009882,29002166,992284,81179,1
637,28050425,29043262,992837,81501,1
638,28090837,29084010,993173,81258,1
639,28131351,29124683,993332,81111,1
640,28171794,29165167,993373,80859,1
641,28212173,29205574,993401,80937,1
642,28252707,29246080,993373,80993,1
643,28293198,29286580,993382,81031,1
644,28333733,29326891,993158,80731,1
645,28374157,29367287,993130,80835,1
646,28414600,29407795,993195,80918,1
647,28455014,29448278,993264,80814,1
648,28495349,29488507,993158,80739,1
649,28535862,29529060,993198,80872,1
650,28576184,29569667,993483,81059,1
651,28616640,29610270,993630,80857,1
652,28656899,29650748,993849,80830,1
653,28697255,29691314,994059,80927,1
654,28737620,29731964,994344,81198,1
655,28778172,29772348,994176,80899,1
656,28818691,29812980,994289,81152,1
657,28859215,29853499,994284,81079,1
658,28899780,29894133,994353,81031,1
659,28940181,29934624,994443,80887,1
660,28980582,29974952,994370,81353,1
661,29021612,30015445,993833,81330,1
662,29062452,30055941,993489,81136,1
663,29103096,30096377,993281,81065,1
664,29143729,30136920,993191,81058,1
665,29184247,30177403,993156,80886,1
666,29224654,30217987,993333,81034,1
667,29265108,30258417,993309,80930,1
668,29305613,30298964,993351,80908,1
669,29345977,30339496,993519,80978,1
670,29386427,30379861,993434,80784,1
671,29426851,30420268,993417,80877,1
672,29467325,30460739,993414,80751,1
673,29507608,30501184,993576,80959,1
674,29548126,30541502,993376,81003,1
675,29588815,30581863,993048,80917,1
676,29629374,30622313,992939,80901,1
677,29669874,30662892,993018,81063,1
678,29710362,30703299,992937,81021,1
679,29750980,30743952,992972,81037,1
680,29791368,30784345,992977,81021,1
681,29831999,30824786,992787,80969,1
682,29872531,30865187,992656,81113,1
683,29913247,30905678,992431,80940,1
684,29953700,30946142,992442,80878,1
685,29994118,30986640,992522,80911,1
686,30034536,31027172,992636,80947,1
687,30074954,31067747,992793,81133,1
688,30115516,31108411,992895,81106,1
689,30155962,31149153,993191,81258,1
690,30196483,31189606,993123,81155,1
691,30237189,31230222,993033,80912,1
692,30277489,31270756,993267,81037,1
693,30317996,31311110,993114,80888,1
694,30358534,31351655,993121,80856,1
695,30398849,31392040,993191,80836,1
696,30439303,31432371,993068,80864,1
697,30479839,31472946,993107,81014,1
698,30520282,31513270,992988,80664,1
699,30560625,31553795,993170,80848,1
700,30600952,31594360,993408,80942,1
701,30641333,31634842,993509,81142,1
702,30681997,31675341,993344,80914,1
703,30722416,31715843,993427,81066,1
704,30762984,31756265,993281,80899,1
705,30803464,31796813,993349,80897,1
706,30843816,31837219,993403,80862,1
707,30884276,31877707,993431,80917,1
708,30924710,31918214,993504,81005,1
709,30965212,31958776,993564,81120,1
710,31005775,31999259,993484,80944,1
711,31046240,32039873,993633,81110,1
712,31086741,32080456,993715,81452,1
713,31127613,32120905,993292,81018,1
714,31168186,32161344,993158,80920,1
715,31208671,32201813,993142,81041,1
716,31249246,32242239,992993,80988,1
717,31289812,32282698,992886,80785,1
718,31330141,32323159,993018,81056,1
719,31370739,32363776,993037,80983,1
720,31411110,32404101,992991,80680,1
721,31451469,32444662,993193,81070,1
722,31491983,32484947,992964,80654,1
723,31532355,32525350,992995,81000,1
724,31572956,32565940,992984,81146,1
725,31613516,32606425,992909,80901,1
726,31653935,32646960,993025,80999,1
727,31694403,32687228,992825,80763,1
728,31734902,32727665,992763,80841,1
729,31775310,32768081,992771,80954,1
730,31815852,32808539,992687,80954,1
731,31856351,32848947,992596,80909,1
732,31896855,32889601,992746,81089,1
733,31937293,32930213,992920,81124,1
734,31977811,32970535,992724,80848,1
735,32018341,33011061,992720,81117,1
736,32058937,33051666,992729,81188,1
737,32099523,33091831,992308,80626,1
738,32139988,33132326,992338,80935,1
739,32180433,33172577,992144,80758,1
740,32220944,33212870,991926,80694,1
741,32261350,33253433,992083,80959,1
742,32301749,33294018,992269,81024,1
743,32342192,33334516,992324,81084,1
744,32382782,33374851,992069,80652,1
745,32423102,33415323,992221,81095,1
746,32463729,33455805,992076,80836,1
747,32504088,33496320,992232,80826,1
748,32544403,33536750,992347,81044,1
749,32585021,33577394,992373,81114,1
750,32625495,33617830,992335,80938,1
751,32666002,33658285,992283,80827,1
752,32706378,33698745,992367,80746,1
753,32746668,33739281,992613,80940,1
754,32787076,33779723,992647,80968,1
755,32827606,33820133,992527,80846,1
756,32868047,33860759,992712,81327,1
757,32908752,33901156,992404,80953,1
758,32949311,33941671,992360,80826,1
759,32989626,33982228,992602,81031,1
760,33030104,34022709,992605,81056,1
761,33070683,34063042,992359,80511,1
