it,start,end,latency,execution,sol
475,11264484,11389807,125323,29702,1
476,11274298,11409669,135371,29618,1
477,11284058,11429391,145333,29494,1
478,11293834,11449057,155223,29389,1
479,11303560,11468981,165421,29668,1
480,11313309,11488780,175471,29525,1
481,11323040,11508302,185262,29301,1
482,11332822,11527967,195145,29435,1
483,11342597,11547646,205049,29463,1
484,11352386,11567165,214779,29270,1
485,11362141,11586948,224807,29529,1
486,11371891,11606527,234636,29227,1
487,11381544,11626053,244509,29229,1
488,11391250,11645748,254498,29364,1
489,11400922,11665531,264609,29496,1
490,11410641,11685220,274579,29334,1
491,11420291,11704832,284541,29332,1
492,11430017,11724605,294588,29395,1
493,11439643,11744180,304537,29332,1
494,11449405,11763862,314457,29276,1
495,11459005,11783467,324462,29410,1
496,11468830,11803363,334533,39649,1
497,11488590,11823290,334700,39520,1
498,11508192,11842976,334784,39254,1
499,11527766,11862683,334917,39369,1
500,11547434,11882537,335103,39421,1
501,11567006,11902329,335323,39463,1
502,11586684,11922161,335477,39498,1
503,11606358,11942129,335771,39516,1
504,11625912,11961950,336038,39442,1
505,11645540,11981503,335963,39411,1
506,11665406,12001076,335670,39254,1
507,11685093,12020593,335500,39130,1
508,11704712,12040174,335462,39286,1
509,11724424,12059791,335367,39193,1
510,11744006,12079328,335322,39080,1
511,11763557,12098927,335370,39405,1
512,11783371,12118542,335171,39463,1
513,11803232,12137911,334679,39262,1
514,11823132,12157543,334411,39337,1
515,11842845,12177158,334313,39277,1
516,11862514,12196805,334291,39410,1
517,11882283,12216355,334072,39406,1
518,11902146,12236018,333872,39548,1
519,11922039,12255503,333464,39347,1
520,11941907,12275035,333128,39385,1
521,11961765,12294506,332741,39035,1
522,11981336,12314106,332770,39124,1
523,12000868,12333557,332689,38965,1
524,12020390,12353234,332844,39317,1
525,12040036,12372841,332805,39190,1
526,12059625,12392420,332795,39152,1
527,12079203,12412443,333240,39636,1
528,12098824,12432287,333463,39318,1
529,12118306,12451939,333633,39140,1
530,12137801,12471446,333645,39109,1
531,12157410,12491317,333907,39447,1
532,12176994,12511019,334025,39338,1
