iteration,start,end,latency,execution
294,12299783,12435892,136109,284420
295,12342506,12478444,135938,291408
296,12385152,12520567,135415,305814
297,12426023,12562217,136194,296169
298,12468430,12603605,135175,284097
299,12510919,12645615,134696,282413
300,12551721,12687953,136232,323881
301,12594374,12729861,135487,292112
302,12636872,12772255,135383,296230
303,12679287,12816466,137179,300596
304,12721596,12858292,136696,291864
305,12764216,12899393,135177,295951
306,12806678,12940612,133934,283852
307,12849118,12981728,132610,290127
308,12891897,13023411,131514,283625
309,12932631,13064236,131605,292949
310,12973853,13105603,131750,304545
311,13016671,13147505,130834,285918
312,13057718,13188771,131053,319349
313,13100346,13229869,129523,275949
314,13142859,13272272,129413,283616
315,13183655,13321237,137582,325857
316,13226268,13363441,137173,291469
317,13268779,13404543,135764,295819
318,13311300,13445471,134171,282743
319,13353779,13490016,136237,297204
320,13396755,13531858,135103,306659
321,13437539,13573218,135679,302777
322,13480177,13614265,134088,269232
323,13522665,13656096,133431,293809
324,13563763,13698621,134858,321169
325,13606324,13740457,134133,291741
326,13648868,13782878,134010,297181
327,13691355,13824100,132745,298508
328,13733851,13865296,131445,278938
329,13776337,13906329,129992,282626
330,13817425,13947586,130161,304307
331,13860075,13995952,135877,297482
332,13902831,14037843,135012,306623
333,13943853,14079927,136074,310613
334,13986348,14122286,135938,284651
335,14029012,14164480,135468,302980
336,14071500,14205551,134051,297667
337,14113957,14246550,132593,277211
338,14156457,14289172,132715,282958
339,14197520,14330690,133170,319957
340,14240174,14372332,132158,279311
341,14282715,14412975,130260,281184
342,14323603,14454466,130863,304028
343,14366321,14502220,135899,298319
344,14409258,14544633,135375,304185
345,14449882,14587176,137294,297347
346,14492447,14628803,136356,295849
347,14534816,14670256,135440,274585
348,14577117,14712278,135161,296072
349,14618380,14754549,136169,314485
350,14660949,14796827,135878,299428
351,14703474,14837681,134207,298400
352,14746006,14878888,132882,278668
353,14788509,14920185,131676,281729
354,14829588,14961220,131632,301040
355,14872230,15008123,135893,295385
356,14914672,15050659,135987,307725
