iteration,actor,exectime
418,D1,50330
418,D2,31132
419,D1,50310
419,D2,32316
420,D1,50319
420,D2,32299
421,D1,50286
421,D2,32292
422,D1,50367
422,D2,32307
423,D1,50166
423,D2,32182
424,D1,50409
424,D2,33318
425,D1,50418
425,D2,33252
426,D1,50351
426,D2,33203
427,D1,50413
427,D2,33298
428,D1,50442
428,D2,33344
429,D1,50321
429,D2,34158
430,D1,50433
430,D2,34151
431,D1,50428
431,D2,34455
432,D1,50325
432,D2,34191
433,D1,50285
433,D2,34410
434,D1,50425
434,D2,35150
435,D1,50302
435,D2,35153
436,D1,50366
436,D2,35136
437,D1,50416
437,D2,35189
438,D1,50447
438,D2,35203
439,D1,50302
439,D2,36278
440,D1,50304
440,D2,36149
441,D1,50344
441,D2,36342
442,D1,50307
442,D2,36118
443,D1,50282
443,D2,36409
444,D1,50316
444,D2,37331
445,D1,50395
445,D2,37127
446,D1,50347
446,D2,37138
447,D1,50328
447,D2,37086
448,D1,50116
448,D2,37110
449,D1,50508
449,D2,38411
450,D1,50363
450,D2,38204
451,D1,50329
451,D2,38233
452,D1,50438
452,D2,38204
453,D1,50210
453,D2,38351
454,D1,50411
454,D2,39181
455,D1,50279
455,D2,39258
456,D1,50369
456,D2,39360
457,D1,50416
457,D2,39268
458,D1,50374
458,D2,39280
459,D1,50400
459,D2,40287
460,D1,50243
460,D2,40339
461,D1,50466
461,D2,40268
462,D1,50349
462,D2,40364
463,D1,50292
463,D2,40275
464,D1,50324
464,D2,41283
465,D1,50377
465,D2,41256
466,D1,50337
466,D2,41149
467,D1,50287
467,D2,41166
468,D1,50087
468,D2,41153
469,D1,50215
469,D2,42284
470,D1,50490
470,D2,42400
471,D1,50323
471,D2,42357
472,D1,50249
472,D2,42171
473,D1,50442
473,D2,42350
474,D1,50305
474,D2,43443
475,D1,50286
475,D2,43295
476,D1,50303
476,D2,43313
477,D1,50315
477,D2,43352
478,D1,50409
478,D2,43513
479,D1,50417
479,D2,44289
480,D1,50448
480,D2,44221
481,D1,50261
481,D2,44306
482,D1,50307
482,D2,44329
483,D1,50323
483,D2,44292
484,D1,50134
484,D2,45319
485,D1,50265
485,D2,45307
486,D1,50171
486,D2,45338
487,D1,50461
487,D2,45357
488,D1,50398
488,D2,45331
489,D1,50448
489,D2,46359
490,D1,50219
490,D2,46154
491,D1,50511
491,D2,46373
492,D1,50309
492,D2,46157
493,D1,50439
493,D2,46341
494,D1,50454
494,D2,47308
495,D1,50262
495,D2,47352
496,D1,50351
496,D2,47351
497,D1,50336
497,D2,47340
498,D1,50229
498,D2,47312
499,D1,50302
499,D2,48320
500,D1,50180
500,D2,48307
501,D1,50345
501,D2,48351
502,D1,50414
502,D2,48395
503,D1,50413
503,D2,48254
504,D1,50373
504,D2,49199
505,D1,50273
505,D2,49278
506,D1,50346
506,D2,49318
507,D1,50472
507,D2,49350
508,D1,50355
508,D2,49338
509,D1,50121
509,D2,50121
510,D1,50460
510,D2,50434
511,D1,50134
511,D2,50289
512,D1,50175
512,D2,50175
513,D1,50361
513,D2,50472
514,D1,50270
514,D2,50270
515,D1,50323
515,D2,50323
516,D1,50205
516,D2,50377
517,D1,50291
517,D2,50293
518,D1,50440
518,D2,50440
519,D1,50111
519,D2,50272
520,D1,50321
520,D2,50321
521,D1,50355
521,D2,50153
522,D1,50343
522,D2,50468
523,D1,50243
523,D2,50305
524,D1,50179
524,D2,50179
525,D1,50425
525,D2,50371
526,D1,50358
526,D2,50293
527,D1,50225
527,D2,50287
528,D1,50389
528,D2,50235
529,D1,50305
529,D2,50147
530,D1,50263
530,D2,50234
531,D1,50424
531,D2,50212
532,D1,50420
532,D2,50420
533,D1,50296
533,D2,50290
534,D1,50452
534,D2,50398
535,D1,50277
535,D2,50098
536,D1,50315
536,D2,50315
537,D1,50350
537,D2,50092
538,D1,50119
538,D2,50119
539,D1,50390
539,D2,50287
540,D1,50303
540,D2,50336
541,D1,50371
541,D2,50334
542,D1,50307
542,D2,50307
543,D1,50364
543,D2,50245
544,D1,50308
544,D2,50308
545,D1,50261
545,D2,50290
546,D1,50293
546,D2,50092
547,D1,50349
547,D2,50370
548,D1,50280
548,D2,50280
549,D1,50277
549,D2,50211
550,D1,50273
550,D2,50273
551,D1,50350
551,D2,50367
552,D1,50209
552,D2,50297
553,D1,50314
553,D2,50393
554,D1,50198
554,D2,50198
555,D1,50345
555,D2,50238
556,D1,50331
556,D2,50331
557,D1,50249
557,D2,50217
558,D1,50464
558,D2,50162
559,D1,50348
559,D2,50385
560,D1,50333
560,D2,50333
561,D1,50188
561,D2,50192
562,D1,50429
562,D2,50429
563,D1,50299
563,D2,50288
564,D1,50375
564,D2,50375
565,D1,50408
565,D2,50332
566,D1,50316
566,D2,50316
567,D1,50471
567,D2,50247
568,D1,50330
568,D2,50330
569,D1,50368
569,D2,50304
570,D1,50380
570,D2,50233
571,D1,50282
571,D2,50347
572,D1,50360
572,D2,50360
573,D1,50344
573,D2,50157
574,D1,50428
574,D2,50428
575,D1,50230
575,D2,50294
576,D1,50316
576,D2,50346
577,D1,50328
577,D2,50381
578,D1,50318
578,D2,50318
579,D1,50299
579,D2,50372
580,D1,50194
580,D2,50194
581,D1,50241
581,D2,50303
582,D1,50322
582,D2,50253
583,D1,50369
583,D2,50369
584,D1,50141
584,D2,50141
585,D1,50340
585,D2,50156
586,D1,50522
586,D2,50522
587,D1,50159
587,D2,50129
