iteration,start,end,latency,execution
383,14892514,20252181,5359667,545557
384,14893135,20304589,5411454,508474
385,14893766,20357846,5464080,549224
386,14896397,20410878,5514481,508497
387,14897153,20463489,5566336,546152
388,14897848,20514863,5617015,530358
389,14898467,20567867,5669400,528292
390,14899097,20620920,5721823,532727
391,14899729,20674179,5774450,531842
392,14900274,20726086,5825812,529069
393,14900745,20777524,5876779,508473
394,14901329,20830434,5929105,548233
395,14901929,20883336,5981407,531289
396,14902532,20935973,6033441,490122
397,14903105,20988980,6085875,559093
398,14903690,21042107,6138417,533073
399,14904291,21094844,6190553,528013
400,14904917,21146074,6241157,531263
401,14905505,21199224,6293719,507315
402,14906131,21252148,6346017,525050
403,14906735,21305320,6398585,546001
404,14907328,21356995,6449667,505957
405,14907803,21409782,6501979,545339
406,14908379,21462855,6554476,512702
407,14909057,21515648,6606591,547808
408,14909694,21568384,6658690,507461
409,14910459,21619803,6709344,542557
410,14911294,21672301,6761007,531170
411,14912055,21725438,6813383,514173
412,14912893,21778483,6865590,596619
413,14913496,21831248,6917752,570985
414,14914051,21884518,6970467,574183
415,14914536,21938030,7023494,598662
416,14915085,21989404,7074319,558633
417,14915587,22042160,7126573,597912
418,14916163,22094855,7178692,558912
419,14916814,22146105,7229291,598283
420,14917436,22198807,7281371,562922
421,14918027,22250025,7331998,591076
422,14918613,22303052,7384439,585693
423,14919217,22355623,7436406,582173
424,14919801,22408852,7489051,582161
425,14920360,22461841,7541481,572906
426,14920969,22514845,7593876,589166
427,14921621,22567504,7645883,581374
428,14922283,22618688,7696405,532229
429,14922763,22671414,7748651,615236
430,14923350,22724079,7800729,584168
431,14923941,22775505,7851564,578360
432,14924520,22829092,7904572,561896
433,14925105,22880503,7955398,570413
434,14925678,22933356,8007678,592578
435,14926273,22986464,8060191,586723
436,14926851,23044719,8117868,581376
437,14927402,23097693,8170291,585887
438,14927981,23151100,8223119,577639
439,14928624,23204171,8275547,587425
440,14929150,23256800,8327650,537181
441,14929610,23309786,8380176,612046
442,14930144,23362814,8432670,583190
443,14930709,23415807,8485098,563436
444,14937646,23468588,8530942,652713
445,14989711,23521537,8531826,624289
446,15050325,23574387,8524062,645158
447,15103573,23627433,8523860,638706
448,15156421,23680483,8524062,631158
449,15209989,23733405,8523416,636588
450,15262352,23786473,8524121,628453
451,15315313,23839636,8524323,638279
452,15367829,23891027,8523198,590997
453,15421025,23944128,8523103,661087
454,15474622,23996919,8522297,635688
455,15527259,24049982,8522723,626782
456,15580295,24102841,8522546,635661
457,15633120,24154889,8521769,610694
458,15678866,24207835,8528969,655815
