iteration,start,end,latency,execution
361,15191432,15281385,89953,82905
362,15232472,15329308,96836,90664
363,15275264,15370709,95445,83860
364,15317766,15412805,95039,83179
365,15358924,15455045,96121,84777
366,15401535,15498130,96595,85834
367,15444359,15540495,96136,85057
368,15487127,15582449,95322,84544
369,15529813,15632601,102788,92786
370,15572524,15673637,101113,83695
371,15615247,15714828,99581,84396
372,15658496,15755933,97437,82152
373,15699604,15797217,97613,83794
374,15742155,15838096,95941,81835
375,15783188,15879296,96108,83860
376,15825890,15921814,95924,83476
377,15866924,15963737,96813,84688
378,15909764,16007624,97860,86483
379,15952435,16050037,97602,85020
380,15995117,16091970,96853,84551
381,16037841,16141902,104061,92539
382,16080522,16184388,103866,85033
383,16123143,16227226,104083,85811
384,16166205,16268522,102317,83800
385,16208771,16310505,101734,84496
386,16251332,16351797,100465,82369
387,16292471,16392986,100515,83760
388,16335089,16435395,100306,83461
389,16376215,16477290,101075,84379
390,16418773,16519948,101175,85338
391,16461528,16560800,99272,83500
392,16504236,16601569,97333,83406
393,16546936,16643374,96438,84244
394,16589423,16685442,96019,83268
395,16630697,16731424,100727,89101
396,16673892,16773737,99845,84896
397,16716565,16815941,99376,84930
398,16759366,16859908,100542,86439
399,16801899,16901099,99200,83885
400,16844642,16942954,98312,82903
401,16885766,16985645,99879,85384
402,16928536,17029308,100772,86159
403,16971123,17071890,100767,85205
404,17013845,17113464,99619,84169
405,17056503,17155109,98606,84290
406,17099194,17197200,98006,83182
407,17140374,17238366,97992,84292
408,17183563,17279326,95763,83454
409,17226101,17322037,95936,83766
410,17267230,17369378,102148,90180
411,17310133,17410663,100530,83898
412,17352781,17453046,100265,83410
413,17393883,17495053,101170,84635
414,17436586,17538666,102080,86060
415,17479120,17581294,102174,85216
416,17521821,17624018,102197,85309
417,17564480,17670859,106379,89506
418,17607234,17711605,104371,83388
419,17649941,17753181,103240,84714
420,17693152,17794887,101735,82848
421,17734358,17837618,103260,85399
422,17777067,17879369,102302,82615
423,17817993,17921930,103937,85221
424,17860710,17965709,104999,84651
425,17901669,18007787,106118,84684
426,17944365,18050036,105671,85004
427,17987195,18092693,105498,85353
428,18029967,18134020,104053,83800
429,18072493,18176227,103734,84742
430,18115073,18219367,104294,84044
431,18156042,18263635,107593,87347
432,18199170,18305867,106697,83232
433,18240232,18349849,109617,86529
434,18282828,18393095,110267,84284
435,18323930,18437376,113446,86871
