iteration,start,end,latency,execution
493,20709921,21109285,399364,319373
494,20752430,21159321,406891,321147
495,20794839,21207312,412473,315703
496,20837170,21258352,421182,319796
497,20879515,21306130,426615,312401
498,20921900,21356097,434197,318036
499,20964255,21404655,440400,313691
500,21006521,21455504,448983,319214
501,21047537,21506203,458666,331276
502,21090189,21554443,464254,300529
503,21132553,21603636,471083,309840
504,21173539,21653719,480180,324637
505,21216130,21702640,486510,317651
506,21258583,21752932,494349,321127
507,21299448,21802527,503079,322956
508,21341621,21850808,509187,322844
509,21382593,21899639,517046,326339
510,21425103,21949780,524677,322574
511,21467422,21998827,531405,317168
512,21508450,22047468,539018,328441
513,21550997,22094537,543540,311782
514,21591997,22143934,551937,322614
515,21634087,22191653,557566,315695
516,21675010,22241506,566496,320369
517,21716847,22287693,570846,319254
518,21759483,22337186,577703,321199
519,21800461,22386286,585825,325214
520,21843139,22434945,591806,315750
521,21884124,22482062,597938,313308
522,21926642,22529158,602516,322079
523,21969053,22575658,606605,312352
524,22011355,22624113,612758,321476
525,22052267,22671847,619580,316904
526,22094852,22717102,622250,310577
527,22137287,22766579,629292,325171
528,22179982,22812883,632901,319886
529,22222413,22859266,636853,306398
530,22263438,22908198,644760,319260
531,22305915,22954288,648373,312676
532,22348441,23000919,652478,312683
533,22391063,23047412,656349,317805
534,22433790,23092411,658621,307363
535,22476414,23139551,663137,320696
536,22519027,23185910,666883,308576
537,22560073,23231739,671666,315036
538,22602541,23278946,676405,312496
539,22645035,23324819,679784,306499
540,22685687,23371560,685873,314405
541,22727998,23417365,689367,311503
542,22770804,23463289,692485,299356
543,22811851,23508256,696405,315672
544,22854684,23554246,699562,310560
545,22897439,23598568,701129,306051
546,22940121,23644732,704611,316776
547,22982741,23690621,707880,303921
548,23025421,23735203,709782,310302
549,23066585,23780981,714396,307592
550,23107710,23825981,718271,305678
551,23149800,23869995,720195,301204
552,23190834,23914296,723462,307217
553,23233641,23959371,725730,300975
554,23276361,24002967,726606,302338
555,23317118,24046495,729377,313780
556,23359810,24091822,732012,302756
557,23402538,24134913,732375,305355
558,23445277,24179866,734589,306799
559,23487803,24225820,738017,311924
560,23530584,24269333,738749,297134
561,23571509,24312230,740721,309730
562,23614490,24355451,740961,291756
563,23657031,24399657,742626,297030
564,23699479,24443549,744070,303487
565,23742033,24487139,745106,307614
566,23784584,24529988,745404,296931
567,23827250,24573268,746018,310750
568,23869963,24616331,746368,297967
569,23912704,24660595,747891,296497
570,23955358,24703389,748031,302826
571,23998211,24744656,746445,296251
572,24039358,24787827,748469,303278
573,24082165,24829980,747815,291253
574,24123201,24873047,749846,297791
575,24165990,24915267,749277,298777
576,24208647,24957432,748785,297671
577,24251321,25000458,749137,296642
578,24292464,25042567,750103,297548
579,24335417,25084814,749397,295579
580,24378102,25125838,747736,295429
581,24420675,25167946,747271,296367
582,24463331,25208968,745637,293680
583,24505862,25251441,745579,296292
584,24548737,25293303,744566,303468
585,24591374,25334544,743170,292094
586,24634195,25375920,741725,287507
587,24676894,25418106,741212,289642
588,24717680,25459994,742314,290287
589,24760636,25502460,741824,303965
590,24803276,25544552,741276,284732
591,24845972,25586453,740481,301710
592,24888493,25628942,740449,288603
593,24931323,25671898,740575,287230
594,24974033,25713944,739911,293767
595,25016708,25755535,738827,295712
596,25059254,25797508,738254,286918
597,25100135,25838737,738602,288988
598,25142444,25880911,738467,286416
599,25183705,25923799,740094,293764
600,25226520,25964999,738479,289101
601,25269246,26006284,737038,284063
602,25310045,26048467,738422,286202
603,25352448,26089409,736961,287026
604,25395048,26130941,735893,284723
605,25437616,26172828,735212,287321
606,25480349,26215211,734862,289816
607,25522966,26255954,732988,299350
608,25565831,26297546,731715,288613
609,25608524,26338828,730304,285196
610,25651265,26379766,728501,279200
